SãO PAULO  código:355030

Descrição,Valor,Unidade
População residente,11253503,pessoas
População residente urbana,11152344,pessoas
População residente rural,101159,pessoas
Homens,5328632,homens
Homens na área urbana,5278168,homens
Homens na área rural,50464,homens
Mulheres,5924871,mulheres
Mulheres na área urbana,5874176,mulheres
Mulheres na área rural,50695,mulheres
Homens de menos de 1 ano de idade,72580,homens
Homens de 1 a 4 anos de idade,289129,homens
Homens de 5 a 9 anos de idade,385672,homens
Homens de 10 a 14 anos de idade,438356,homens
Homens de 15 a 19 anos de idade,420552,homens
Homens de 20 a 24 anos de idade,489432,homens
Homens de 25 a 29 anos de idade,519694,homens
Homens de 30 a 34 anos de idade,481258,homens
Homens de 35 a 39 anos de idade,423024,homens
Homens de 40 a 44 anos de idade,385172,homens
Homens de 45 a 49 anos de idade,342042,homens
Homens de 50 a 54 anos de idade,301852,homens
Homens de 55 a 59 anos de idade,243863,homens
Homens de 60 a 64 anos de idade,183012,homens
Homens de 65 a 69 anos de idade,127020,homens
Homens de 70 a 74 anos de idade,95214,homens
Homens de 75 a 79 anos de idade,64324,homens
Homens de 80 a 84 anos de idade,41305,homens
Homens de 85 a 89 anos de idade,17737,homens
Homens de 90 a 94 anos de idade,5877,homens
Homens de 95 a 99 anos de idade,1270,homens
Homens de 100 anos ou mais de idade,247,homens
Mulheres de menos de 1 ano de idade,70263,mulheres
Mulheres de 1 a 4 anos de idade,278955,mulheres
Mulheres de 5 a 9 anos de idade,372607,mulheres
Mulheres de 10 a 14 anos de idade,429074,mulheres
Mulheres de 15 a 19 anos de idade,421705,mulheres
Mulheres de 20 a 24 anos de idade,502227,mulheres
Mulheres de 25 a 29 anos de idade,554888,mulheres
Mulheres de 30 a 34 anos de idade,528818,mulheres
Mulheres de 35 a 39 anos de idade,465661,mulheres
Mulheres de 40 a 44 anos de idade,427807,mulheres
Mulheres de 45 a 49 anos de idade,400678,mulheres
Mulheres de 50 a 54 anos de idade,365806,mulheres
Mulheres de 55 a 59 anos de idade,304250,mulheres
Mulheres de 60 a 64 anos de idade,240043,mulheres
Mulheres de 65 a 69 anos de idade,175318,mulheres
Mulheres de 70 a 74 anos de idade,142087,mulheres
Mulheres de 75 a 79 anos de idade,106645,mulheres
Mulheres de 80 a 84 anos de idade,78206,mulheres
Mulheres de 85 a 89 anos de idade,39468,mulheres
Mulheres de 90 a 94 anos de idade,15357,mulheres
Mulheres de 95 a 99 anos de idade,4228,mulheres
Mulheres de 100 anos ou mais de idade,780,mulheres
Domicílios recenseados,3935645,domicílios
Domicílios particulares ocupados,3576864,domicílios
Domicílios particulares ocupados com entrevista realizada,3468019,domicílios
Domicílios particulares ocupados sem entrevista realizada,108845,domicílios
Domicílios particulares não ocupados,353666,domicílios
Domicílios particulares não ocupados de uso ocasional,60045,domicílios
Domicílios particulares não ocupados vagos,293621,domicílios
Domicílios coletivos,5115,domicílios
Domicílios coletivos com morador,2807,domicílios
Domicílios coletivos sem morador,2308,domicílios
Média de moradores em domicílios particulares ocupados,3.14,moradores
Fonte: IBGE, Censo Demográfico 2010.<br />Clique <a STYLE="text-decoration:none"  href="http://www.censo2010.ibge.gov.br/" target="_blank"><font color=7F7C50>aqui</font></a> para obter as informações do Censo Demográfico 2010.

